Bairro;Preco_Real;Preco_Previsto;Erro_Absoluto
Ipanema, Rio de Janeiro, Brasil;384,0;514,3531217507993;130,35312175079935
Leme, Rio de Janeiro, Brasil;260,0;400,04384795613726;140,04384795613726
Copacabana, Rio de Janeiro, Brasil;285,0;280,96001041115755;4,039989588842445
Copacabana, Rio de Janeiro, Brasil;529,0;319,01382169489125;209,98617830510875
Copacabana, Rio de Janeiro, Brasil;348,0;307,0622915353926;40,9377084646074
Leblon, Rio de Janeiro, Brasil;973,0;512,6704072857389;460,32959271426114
Copacabana, Rio de Janeiro, Brasil;204,0;307,0622915353926;103,0622915353926
Santa Teresa, Rio de Janeiro, Brasil;463,0;566,2168703703703;103,21687037037032
Flamengo, Rio de Janeiro, Brasil;183,0;404,16910920207044;221,16910920207044
Outros, Rio de Janeiro, Brasil;417,0;223,0511919476894;193,9488080523106
Copacabana, Rio de Janeiro, Brasil;248,0;960,9801907045259;712,9801907045259
Copacabana, Rio de Janeiro, Brasil;400,0;569,2905371366699;169,29053713666985
Copacabana, Rio de Janeiro, Brasil;400,0;319,01382169489125;80,98617830510875
Centro, Rio de Janeiro, Brasil;263,0;537,7156428571429;274,71564285714294
Leblon, Rio de Janeiro, Brasil;960,0;512,6704072857389;447,32959271426114
Santa Teresa, Rio de Janeiro, Brasil;477,0;302,72621750391477;174,27378249608523
Barra da Tijuca, Rio de Janeiro, Brasil;188,0;389,87426039730633;201,87426039730633
Copacabana, Rio de Janeiro, Brasil;337,0;319,01382169489125;17,98617830510875
Leblon, Rio de Janeiro, Brasil;290,0;708,264238095238;418,26423809523806
Catete, Rio de Janeiro, Brasil;224,0;236,64125659731172;12,641256597311724
Leblon, Rio de Janeiro, Brasil;333,0;512,6704072857389;179,67040728573886
Centro, Rio de Janeiro, Brasil;441,0;191,71219710680586;249,28780289319414
Copacabana, Rio de Janeiro, Brasil;2480,0;370,16444877368076;2109,8355512263192
Santa Teresa, Rio de Janeiro, Brasil;290,0;302,72621750391477;12,726217503914768
Barra da Tijuca, Rio de Janeiro, Brasil;300,0;217,49038453035294;82,50961546964706
São Conrado, Rio de Janeiro, Brasil;187,0;324,40265163273887;137,40265163273887
Leblon, Rio de Janeiro, Brasil;1000,0;788,0150714285716;211,98492857142844
Copacabana, Rio de Janeiro, Brasil;270,0;327,15275481276404;57,152754812764044
Copacabana, Rio de Janeiro, Brasil;552,0;528,6046859806859;23,395314019314128
São Conrado, Rio de Janeiro, Brasil;597,0;658,5896861471861;61,58968614718606
Copacabana, Rio de Janeiro, Brasil;192,0;307,0622915353926;115,0622915353926
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;302,0;290,92783439435755;11,072165605642454
Copacabana, Rio de Janeiro, Brasil;137,0;319,01382169489125;182,01382169489125
Leme, Rio de Janeiro, Brasil;471,0;600,5305423563365;129,53054235633647
Copacabana, Rio de Janeiro, Brasil;99,0;230,51998052527028;131,51998052527028
Copacabana, Rio de Janeiro, Brasil;179,0;319,01382169489125;140,01382169489125
Copacabana, Rio de Janeiro, Brasil;144,0;326,7273205307488;182,72732053074878
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;909,0;1595,33;686,3299999999999
Outros, Rio de Janeiro, Brasil;196,0;276,80596191514593;80,80596191514593
Ipanema, Rio de Janeiro, Brasil;526,0;457,16192440558183;68,83807559441817
Leme, Rio de Janeiro, Brasil;278,0;391,4048165326257;113,40481653262572
Copacabana, Rio de Janeiro, Brasil;220,0;306,9317404884663;86,93174048846629
Outros, Rio de Janeiro, Brasil;2000,0;1601,755;398,2449999999999
Ipanema, Rio de Janeiro, Brasil;1500,0;1072,8235900675868;427,1764099324132
Outros, Rio de Janeiro, Brasil;131,0;261,00194327033006;130,00194327033006
Copacabana, Rio de Janeiro, Brasil;1000,0;907,480995780514;92,51900421948596
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;369,0;466,51052525252527;97,51052525252527
Copacabana, Rio de Janeiro, Brasil;380,0;396,41894359089173;16,41894359089173
Botafogo, Rio de Janeiro, Brasil;106,0;155,32333333333332;49,32333333333332
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;351,0;380,55484144171925;29,554841441719248
Barra da Tijuca, Rio de Janeiro, Brasil;106,0;375,3978820801509;269,3978820801509
Copacabana, Rio de Janeiro, Brasil;449,0;940,5564023851481;491,5564023851481
Santa Teresa, Rio de Janeiro, Brasil;125,0;244,96416739224523;119,96416739224523
Gávea, Rio de Janeiro, Brasil;450,0;449,77303422494106;0,2269657750589431
Copacabana, Rio de Janeiro, Brasil;604,0;427,8695434239377;176,13045657606227
Copacabana, Rio de Janeiro, Brasil;170,0;660,7044285714286;490,7044285714286
Centro, Rio de Janeiro, Brasil;250,0;252,9089888507716;2,908988850771607
Leblon, Rio de Janeiro, Brasil;2726,0;2738,685;12,684999999999945
Jacarepaguá, Rio de Janeiro, Brasil;466,0;370,8328222011315;95,16717779886852
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;2000,0;1864,39;135,6099999999999
Santa Teresa, Rio de Janeiro, Brasil;218,0;302,72621750391477;84,72621750391477
Outros, Rio de Janeiro, Brasil;44,0;224,14917002169167;180,14917002169167
Copacabana, Rio de Janeiro, Brasil;227,0;319,01382169489125;92,01382169489125
Copacabana, Rio de Janeiro, Brasil;593,0;783,8785547740846;190,8785547740846
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;161,0;242,61094831483354;81,61094831483354
Outros, Rio de Janeiro, Brasil;131,0;166,43892857142856;35,43892857142856
Copacabana, Rio de Janeiro, Brasil;425,0;533,2733333333333;108,27333333333331
Copacabana, Rio de Janeiro, Brasil;170,0;326,7273205307488;156,72732053074878
Barra da Tijuca, Rio de Janeiro, Brasil;1084,0;479,71508871108193;604,284911288918
Vidigal, Rio de Janeiro, Brasil;1046,0;699,2418080808078;346,7581919191922
Copacabana, Rio de Janeiro, Brasil;168,0;311,7014381055294;143,7014381055294
Outros, Rio de Janeiro, Brasil;145,0;223,0511919476894;78,0511919476894
Ipanema, Rio de Janeiro, Brasil;335,0;423,3074923498869;88,3074923498869
Leblon, Rio de Janeiro, Brasil;647,0;646,6296695526694;0,37033044733061615
Ipanema, Rio de Janeiro, Brasil;379,0;457,16192440558183;78,16192440558183
Copacabana, Rio de Janeiro, Brasil;391,0;383,17814852868446;7,82185147131554
Botafogo, Rio de Janeiro, Brasil;242,0;259,0240263106548;17,02402631065479
Copacabana, Rio de Janeiro, Brasil;457,0;394,93762162297514;62,06237837702486
Copacabana, Rio de Janeiro, Brasil;227,0;354,87260450690366;127,87260450690366
Jacarepaguá, Rio de Janeiro, Brasil;1700,0;1041,130392857143;658,8696071428569
Botafogo, Rio de Janeiro, Brasil;135,0;231,9699884204079;96,9699884204079
Barra da Tijuca, Rio de Janeiro, Brasil;713,0;853,7528591686089;140,7528591686089
Copacabana, Rio de Janeiro, Brasil;342,0;535,4214427785284;193,42144277852844
Centro, Rio de Janeiro, Brasil;222,0;239,50111883571765;17,501118835717648
Barra da Tijuca, Rio de Janeiro, Brasil;982,0;290,78429398913374;691,2157060108663
Copacabana, Rio de Janeiro, Brasil;150,0;313,2084563572107;163,2084563572107
Botafogo, Rio de Janeiro, Brasil;186,0;280,39777570168013;94,39777570168013
Barra da Tijuca, Rio de Janeiro, Brasil;2300,0;669,2167761699507;1630,7832238300493
Santa Teresa, Rio de Janeiro, Brasil;201,0;245,894983463116;44,894983463116006
Leblon, Rio de Janeiro, Brasil;397,0;502,3931960658411;105,3931960658411
Ipanema, Rio de Janeiro, Brasil;237,0;367,56554042335046;130,56554042335046
Copacabana, Rio de Janeiro, Brasil;198,0;354,87260450690366;156,87260450690366
Copacabana, Rio de Janeiro, Brasil;656,0;326,7273205307488;329,2726794692512
Vidigal, Rio de Janeiro, Brasil;569,0;520,2121691218996;48,78783087810041
Outros, Rio de Janeiro, Brasil;700,0;361,92214746864875;338,07785253135125
Recreio dos Bandeirantes, Rio de Janeiro, Brasil;200,0;444,1869871921947;244,1869871921947
